	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	1,220e+004	3,522e+004	250,0	317,2	67,17	70,14	284,5	61,82	1,757	16,64	60,07	53,30	3,932	140,8	81,57	0,2131	2,817e+004	2120	-1833	2592	-4677	7,166	29,83	306,6	75,70	20,70
2	1,225e+004	3,633e+004	245,8	311,2	65,32	66,59	286,4	61,72	1,737	17,28	59,98	51,87	3,966	147,8	80,18	0,2110	4,155e+004	2072	-1839	2540	-5770	1,757	27,61	306,6	77,87	20,86
3	1,154e+004	3,486e+004	244,0	311,2	67,16	68,89	290,2	60,87	1,792	16,46	59,07	51,93	3,843	142,9	82,41	0,2128	3,973e+004	2079	-1764	2491	-5169	1,792	28,72	296,1	79,67	20,83
4	1,194e+004	3,567e+004	242,6	308,2	65,64	67,36	288,6	61,18	1,771	16,95	59,41	51,05	3,966	147,1	80,11	0,2104	4,262e+004	2045	-1771	2407	-5075	1,798	30,11	302,8	79,03	20,91
5	1,135e+004	3,576e+004	240,2	308,6	68,46	70,28	284,9	60,63	1,792	16,89	58,83	51,01	3,809	148,9	80,62	0,2124	3,965e+004	2010	-1771	2203	-4860	1,812	27,14	297,9	80,28	20,99

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	1,186e+004	3,557e+004	244,5	311,3	66,75	68,65	286,9	61,24	1,770	16,84	59,47	51,83	3,903	145,5	80,98	0,2119	3,835e+004	2065	-1796	2447	-5110	2,865	28,68	302,0	78,51	20,86
Min	1,135e+004	3,486e+004	240,2	308,2	65,32	66,59	284,5	60,63	1,737	16,46	58,83	51,01	3,809	140,8	80,11	0,2104	2,817e+004	2010	-1839	2203	-5770	1,757	27,14	296,1	75,70	20,70
Max	1,225e+004	3,633e+004	250,0	317,2	68,46	70,28	290,2	61,82	1,792	17,28	60,07	53,30	3,966	148,9	82,41	0,2131	4,262e+004	2120	-1764	2592	-4677	7,166	30,11	306,6	80,28	20,99
Count	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
